timestamp,asset_id,market_a,market_b,spread,liquidity_a,liquidity_b,gas_cost,realized_profit
2024-01-01 00:00:00,BTC_USDT,BINANCE,PANCAKE,3.1512,12759.564161961436,43870.51758930786,2.46,174.26
2024-01-01 00:01:00,BTC_USDT,BINANCE,PANCAKE,-2.5824,24510.027894841638,60622.47603255812,1.23,-204.05
2024-01-01 00:02:00,BTC_USDT,BINANCE,PANCAKE,-0.3316,76415.54023795477,50568.21816435604,4.6,-32.11
2024-01-01 00:03:00,BTC_USDT,BINANCE,PANCAKE,-1.1681,50329.20294408262,39072.60364211848,2.43,-76.58
2024-01-01 00:04:00,BTC_USDT,BINANCE,PANCAKE,-2.7329,20151.189603685765,78666.73042607472,1.34,-213.51
2024-01-01 00:05:00,BTC_USDT,BINANCE,PANCAKE,0.3031,15232.403027927616,64510.945993200534,2.38,28.83
2024-01-01 00:06:00,BTC_USDT,BINANCE,PANCAKE,1.0272,37159.56904761329,42292.588597119655,2.76,52.51
2024-01-01 00:07:00,BTC_USDT,BINANCE,PANCAKE,0.131,70603.19574371152,28035.009610419456,1.08,3.39
2024-01-01 00:08:00,BTC_USDT,BINANCE,PANCAKE,-1.1619,48742.26200908817,80396.04619963592,4.25,-105.63
2024-01-01 00:09:00,BTC_USDT,BINANCE,PANCAKE,0.8362,11077.086641842732,87572.53110514236,1.99,46.56
2024-01-01 00:10:00,BTC_USDT,BINANCE,PANCAKE,-2.6729,75147.63844756209,99780.40766333442,4.71,-153.9
2024-01-01 00:11:00,BTC_USDT,BINANCE,PANCAKE,0.5501,36541.02273427237,30596.287427873718,1.61,54.75
2024-01-01 00:12:00,BTC_USDT,BINANCE,PANCAKE,-1.2851,20863.48765286478,47996.183369147824,4.68,-127.55
2024-01-01 00:13:00,BTC_USDT,BINANCE,PANCAKE,3.425,20236.244374714395,89273.8210231473,2.18,251.09
2024-01-01 00:14:00,BTC_USDT,BINANCE,PANCAKE,1.3699,25091.182942532756,60738.95530717623,3.39,132.8
2024-01-01 00:15:00,BTC_USDT,BINANCE,PANCAKE,0.9701,74483.01025916345,76082.74067996875,3.88,20.91
2024-01-01 00:16:00,BTC_USDT,BINANCE,PANCAKE,1.7181,38401.32906095724,37146.450414117644,3.18,57.23
2024-01-01 00:17:00,BTC_USDT,BINANCE,PANCAKE,0.5638,60456.52043035493,97990.24592112511,3.42,34.15
2024-01-01 00:18:00,BTC_USDT,BINANCE,PANCAKE,-3.8122,47426.804575349335,16319.517512672195,4.11,-144.37
2024-01-01 00:19:00,BTC_USDT,BINANCE,PANCAKE,1.4067,73663.60784520359,77385.20153945072,1.97,116.51
2024-01-01 00:20:00,BTC_USDT,BINANCE,PANCAKE,-0.8866,98462.61619403854,28678.084425848614,4.63,-17.23
2024-01-01 00:21:00,BTC_USDT,BINANCE,PANCAKE,-2.3807,93954.6405529593,31371.82296868179,4.4,-216.56
2024-01-01 00:22:00,BTC_USDT,BINANCE,PANCAKE,0.0384,95797.3972738509,44218.12100121791,3.49,2.86
2024-01-01 00:23:00,BTC_USDT,BINANCE,PANCAKE,0.4635,93176.26145652583,50178.384109970066,2.32,9.43
2024-01-01 00:24:00,BTC_USDT,BINANCE,PANCAKE,-1.3229,48768.301737210786,79022.4827742366,1.51,-20.34
2024-01-01 00:25:00,BTC_USDT,BINANCE,PANCAKE,-3.857,32822.02020602269,55188.95298678816,2.27,-255.32
2024-01-01 00:26:00,BTC_USDT,BINANCE,PANCAKE,2.0967,86566.70613301407,43463.30577054137,3.72,127.92
2024-01-01 00:27:00,BTC_USDT,BINANCE,PANCAKE,-1.0587,56703.39388927166,10326.886640880883,4.6,-46.93
2024-01-01 00:28:00,BTC_USDT,BINANCE,PANCAKE,-1.1833,10927.738889275472,64644.4715412412,3.64,-100.86
2024-01-01 00:29:00,BTC_USDT,BINANCE,PANCAKE,-2.3032,65374.33625529863,88614.71094444129,3.12,-191.95
2024-01-01 00:30:00,BTC_USDT,BINANCE,PANCAKE,1.7416,38058.13920262779,60900.10366565774,1.61,69.1
2024-01-01 00:31:00,BTC_USDT,BINANCE,PANCAKE,-0.1219,84204.73203415381,71969.21059392013,2.97,-4.25
2024-01-01 00:32:00,BTC_USDT,BINANCE,PANCAKE,0.1815,12047.225360793977,50202.940610303805,2.99,8.94
2024-01-01 00:33:00,BTC_USDT,BINANCE,PANCAKE,-0.8707,34782.144842202266,86288.99545042201,4.75,-20.89
2024-01-01 00:34:00,BTC_USDT,BINANCE,PANCAKE,0.0273,84860.92161336244,84795.94817748421,3.49,1.73
2024-01-01 00:35:00,BTC_USDT,BINANCE,PANCAKE,0.8985,71161.76422504279,82590.32405023668,4.96,71.23
2024-01-01 00:36:00,BTC_USDT,BINANCE,PANCAKE,0.1383,25351.473872329374,99024.45499905114,4.4,5.89
2024-01-01 00:37:00,BTC_USDT,BINANCE,PANCAKE,-2.4818,91512.69043728932,44165.04150959828,4.22,-145.59
2024-01-01 00:38:00,BTC_USDT,BINANCE,PANCAKE,2.7241,44797.65950361374,81960.89163733552,4.95,159.65
2024-01-01 00:39:00,BTC_USDT,BINANCE,PANCAKE,0.2752,25380.94177803318,20920.323440095723,3.07,17.11
2024-01-01 00:40:00,BTC_USDT,BINANCE,PANCAKE,1.4718,97598.01234838777,63471.72333339959,2.67,78.54
2024-01-01 00:41:00,BTC_USDT,BINANCE,PANCAKE,1.6735,51184.5696846126,31554.8949630296,4.23,113.48
2024-01-01 00:42:00,BTC_USDT,BINANCE,PANCAKE,-1.5965,64278.07981738341,25672.338753176315,3.46,-138.29
2024-01-01 00:43:00,BTC_USDT,BINANCE,PANCAKE,1.2373,97957.32699215595,40592.298989244795,2.81,15.64
2024-01-01 00:44:00,BTC_USDT,BINANCE,PANCAKE,0.5405,28861.668618451255,78885.59422555339,2.14,23.52
2024-01-01 00:45:00,BTC_USDT,BINANCE,PANCAKE,-1.1987,55354.93551622072,26831.45932742169,2.55,-14.82
2024-01-01 00:46:00,BTC_USDT,BINANCE,PANCAKE,-1.5335,51566.838852430825,79374.01182974892,3.47,-110.42
2024-01-01 00:47:00,BTC_USDT,BINANCE,PANCAKE,2.0984,13668.088068432397,16408.274334956644,3.11,144.86
2024-01-01 00:48:00,BTC_USDT,BINANCE,PANCAKE,-2.1391,62460.182488530016,33088.969191217475,3.81,-65.28
2024-01-01 00:49:00,BTC_USDT,BINANCE,PANCAKE,-0.5031,36877.66108416766,13311.145604849256,3.91,-36.54
2024-01-01 00:50:00,BTC_USDT,BINANCE,PANCAKE,3.1762,42708.54014013677,38328.23932541956,1.81,136.82
2024-01-01 00:51:00,BTC_USDT,BINANCE,PANCAKE,1.2349,85832.07752083088,60054.16793878317,2.9,48.5
2024-01-01 00:52:00,BTC_USDT,BINANCE,PANCAKE,-1.1512,93210.29125305562,60095.24323417735,1.8,-94.03
2024-01-01 00:53:00,BTC_USDT,BINANCE,PANCAKE,1.4378,73715.34671366666,42561.64619415123,3.36,95.29
2024-01-01 00:54:00,BTC_USDT,BINANCE,PANCAKE,2.1361,54842.354164743665,98497.77859622151,2.8,122.63
2024-01-01 00:55:00,BTC_USDT,BINANCE,PANCAKE,0.2345,80913.71586105644,18086.932141762773,2.47,18.9
2024-01-01 00:56:00,BTC_USDT,BINANCE,PANCAKE,-3.3594,93703.6457325999,36570.39998948775,4.59,-183.47
2024-01-01 00:57:00,BTC_USDT,BINANCE,PANCAKE,-0.4096,58450.74899149132,86175.68610077309,2.23,-20.19
2024-01-01 00:58:00,BTC_USDT,BINANCE,PANCAKE,-0.0112,34290.907349302724,86114.22519682521,1.71,-0.37
2024-01-01 00:59:00,BTC_USDT,BINANCE,PANCAKE,0.1622,97483.3776320077,28274.633722678336,1.59,9.65
