timestamp,market_id,asset_id,bid_price,bid_size,ask_price,ask_size,depth_level
2024-01-01 00:00:00,BINANCE,BTC_USDT,13822.15,367.6956118156777,13823.15,903.4773547356922,1
2024-01-01 00:00:00,BINANCE,BTC_USDT,46876.43,352.8742386581118,46878.43,663.4994160870999,2
2024-01-01 00:00:00,BINANCE,BTC_USDT,22083.31,598.4286897424234,22086.31,447.70167671755934,3
2024-01-01 00:00:00,BINANCE,BTC_USDT,4444.01,117.77823373648829,4448.01,601.1324140021784,4
2024-01-01 00:00:00,BINANCE,BTC_USDT,29156.72,736.8256295912272,29161.72,312.48849208243206,5
2024-01-01 00:00:00,PANCAKE,BTC_USDT,4826.3,547.3487290003474,4827.3,235.28545097094013,1
2024-01-01 00:00:00,PANCAKE,BTC_USDT,22684.42,431.83646646126454,22686.42,391.5599371154121,2
2024-01-01 00:00:00,PANCAKE,BTC_USDT,21251.76,275.5591119568253,21254.76,581.5849906673392,3
2024-01-01 00:00:00,PANCAKE,BTC_USDT,12126.92,55.74106533018982,12130.92,449.8984843506799,4
2024-01-01 00:00:00,PANCAKE,BTC_USDT,30157.02,808.0691076916945,30162.02,265.9971521805251,5
2024-01-01 00:00:00,BINANCE,ETH_USDT,14709.24,576.7467599676735,14710.24,961.3069761289748,1
2024-01-01 00:00:00,BINANCE,ETH_USDT,14441.32,561.787811552163,14443.32,676.5775302250586,2
2024-01-01 00:00:00,BINANCE,ETH_USDT,24973.69,640.9666133865229,24976.69,771.9841254211066,3
2024-01-01 00:00:00,BINANCE,ETH_USDT,12939.12,575.4318842479745,12943.12,739.7599352994503,4
2024-01-01 00:00:00,BINANCE,ETH_USDT,4519.83,143.71784365812556,4524.83,269.61747420732064,5
2024-01-01 00:00:00,PANCAKE,ETH_USDT,43120.82,790.3427749405192,43121.82,628.795715661706,1
2024-01-01 00:00:00,PANCAKE,ETH_USDT,45973.58,765.3575358636623,45975.58,382.7638284296033,2
2024-01-01 00:00:00,PANCAKE,ETH_USDT,21722.89,86.4802114798757,21725.89,588.6415939193552,3
